logcpi,logip,gs1,ebp,ff4_tc
429.0459,394.3341,9.64,-0.223953,
430.0003,393.6755,9.98,-0.317488,
430.9456,393.8156,10.84,-0.089456,
432.0151,394.3526,12.44,-0.912158,
433.0733,394.2521,12.39,-0.166222,
434.2506,394.3225,11.98,0.127869,
435.6709,394.7512,12.06,-0.102562,
436.9448,394.8297,13.92,-0.584882,
438.3276,394.5222,15.82,0.256076,
439.3214,392.4821,13.3,-0.731175,
440.3054,389.9928,9.39,0.024596,
441.2798,388.7642,8.16,-0.089556,
441.401,388.1019,8.65,0.09304,
442.1247,388.3893,10.24,-0.041169,
442.9626,389.9868,11.52,-0.073297,
443.9116,391.2341,12.49,-0.297335,
444.9685,392.9452,14.15,0.26447,
445.8988,393.5349,14.88,-0.103086,
446.8204,392.9798,14.08,0.324857,
447.7337,392.5141,14.57,0.103979,
448.4132,393.0321,13.71,-0.035855,
448.9759,392.6028,14.32,0.501343,
449.6471,393.2151,16.2,0.263799,
450.535,393.6755,14.86,0.424592,
451.6339,394.302,15.72,0.412094,
452.396,394.295,16.72,0.239638,
453.3674,393.6595,16.52,0.396551,
453.6891,392.9584,15.38,0.57229,
454.1165,391.8488,12.41,0.160274,
454.4358,390.7376,12.85,0.545328,
454.7541,388.7501,14.32,0.756894,
455.0714,390.6884,14.73,0.453381,
455.0714,389.9463,13.95,0.908091,
455.3877,389.0759,13.98,0.69748,
456.3306,388.457,13.34,0.712093,
457.4711,388.1209,14.07,0.642981,
457.9852,387.8044,13.24,0.613466,
458.1902,386.9698,11.43,-0.113349,
458.1902,386.6297,10.85,0.476664,
458.5987,385.766,9.32,0.125427,
458.4967,385.3745,9.16,0.499413,
458.1902,384.6451,8.91,0.697482,
458.3947,386.542,8.62,0.328926,
458.4967,385.9379,8.92,0.267022,
458.5987,386.7701,9.04,0.215837,
459.3098,387.9783,8.98,0.119112,
459.7138,388.6617,8.9,-0.081389,
459.9152,389.2026,9.66,0.087245,
460.3168,390.7107,10.2,-0.075867,
460.617,391.7938,10.53,-0.177673,
460.9162,393.3054,10.16,-0.047112,
461.3138,394.1108,9.81,-0.06537,
461.611,394.4186,9.94,0.047045,
461.9073,394.9284,10.11,0.129582,
462.5953,396.9331,9.9,0.057239,
463.0838,397.4271,10.04,-0.050522,
463.3758,397.8902,10.59,0.030465,
463.7637,398.5056,10.9,0.147306,
463.9572,398.9998,11.66,-0.285679,
464.1502,399.3539,12.08,-0.006005,
464.5352,399.684,12.03,-0.120269,
464.823,399.7602,11.82,0.221358,
465.1099,399.6007,11.58,-0.017891,
465.4912,399.4657,10.9,-0.233755,
465.6813,399.8443,9.82,-0.067831,
465.8711,399.9486,9.33,0.001616,
466.0605,399.7064,9.02,-0.074955,
466.6265,400.132,9.29,-0.095078,
467.0958,400.2525,9.86,0.138643,
467.2829,400.0103,9.14,-0.029021,
467.4696,400.1366,8.46,-0.194037,
467.7491,400.2067,7.8,0.212439,
467.935,399.5114,7.86,0.134211,
468.1205,399.9523,8.05,0.146921,
468.3057,400.375,8.07,0.250984,
468.675,399.9734,8.01,0.294745,
469.1348,400.3154,7.88,0.29036,
469.5925,401.3395,7.67,0.032192,
469.9571,401.8288,7.73,0.338187,
469.7749,401.0961,7.61,-0.28549,
469.2265,400.4648,7.03,0.58569,
468.8592,400.5333,6.44,0.54437,
469.1348,400.708,6.65,0.030158,
469.5011,400.386,6.73,0.022068,
469.5925,401.0294,6.27,0.773264,
469.6837,400.8137,5.93,0.70852,
470.048,400.9872,5.77,0.314005,
470.2297,401.4457,5.72,0.545463,
470.411,401.9075,5.8,0.669255,
470.7727,402.7786,5.87,0.699041,
471.3127,402.4543,5.78,0.554116,
471.6712,403.7386,5.96,0.630779,
472.0283,403.8953,6.03,0.518992,
472.4729,404.4934,6.5,-0.384307,
472.7388,405.175,7,0.259175,
473.1803,405.699,6.8,0.244076,
473.4442,406.338,6.68,0.484995,
473.8827,407.0586,7.03,0.469987,
474.232,407.324,7.67,0.492706,
474.4932,408.8293,7.59,-0.843692,
474.8404,409.3584,6.96,0.264651,
475.0136,409.8235,7.17,0.006715,
475.359,409.8669,6.99,-0.181428,
475.5313,410.2716,6.64,0.228407,
475.7891,410.508,6.71,-0.04841,
476.3882,411.038,7.01,0.001875,
476.6438,410.9517,7.4,0.049413,
477.0685,411.1965,7.49,0.093573,
477.4913,411.3269,7.75,-0.230565,
477.9124,411.747,8.17,-0.014694,
478.3316,411.4033,8.09,0.146262,
478.6658,411.9257,8.11,0.236986,
478.9989,412.0978,8.48,0.101988,
479.3308,412.5323,8.99,0.23073,
479.7442,412.79,9.05,0.138146,
480.0737,412.3722,9.25,-0.00409,
480.5659,412.6536,9.57,0.280599,
481.2997,412.6931,9.36,0.50671,
481.7859,412.023,8.98,0.227865,
482.1088,412.0848,8.44,0.408043,
482.4306,411.1171,7.89,0.641174,
482.4306,411.9796,8.18,0.352247,
482.6712,411.7239,8.22,0.373951,
483.1509,411.616,7.99,0.274534,
483.5488,411.918,7.77,0.463822,
483.866,412.5047,7.72,0.406334,
484.8116,411.8969,7.92,0.121781,0
485.203,412.8269,8.11,0.241804,-0.015
485.6707,413.3629,8.35,0.349573,-0.0075806
485.9037,413.2314,8.4,-0.029281,-0.0174194
486.0587,413.4243,8.32,-0.071917,0
486.6765,413.7447,8.1,0.035864,0
487.1373,413.5995,7.94,0.006528,-0.0664516
487.9767,413.8833,7.78,-0.269673,-0.0335484
488.6583,414.0822,7.76,-0.051052,0
489.3352,413.3222,7.55,0.099413,-0.011281
489.5598,412.1024,7.31,0.258542,-0.0130424
489.9331,411.4036,7.05,0.192606,-0.0956667
490.305,410.9627,6.64,0.22076,-0.1674193
490.3792,410.319,6.27,0.139982,-0.2304378
490.3792,409.7978,6.4,0.095124,-0.0363364
490.6015,409.9621,6.24,0.092676,-0.0321398
490.9709,410.9627,6.13,0.106881,-0.1946344
491.2655,411.9382,6.36,0.033201,-0.0090322
491.4124,411.912,6.31,0.115509,0.0087097
491.7057,412.0612,5.78,0.074946,-0.0803226
491.9981,412.929,5.57,0.088652,0.0016129
492.144,412.7101,5.33,0.086014,-0.0025806
492.5804,412.6021,4.89,0.095896,-0.1374193
492.8702,412.2368,4.38,0.02729,-0.1206452
492.9425,411.6077,4.15,-0.038977,-0.1493548
493.1592,412.3853,4.29,-0.013052,0
493.5193,413.1774,4.63,-0.03771,0
493.7347,413.8881,4.3,-0.01459,-0.1493334
493.9497,414.2433,4.19,-0.096207,-0.0467997
494.2357,414.2374,4.17,-0.148848,0.0061229
494.5208,415.0985,3.6,-0.233425,-0.2903225
494.734,414.5967,3.47,-0.063198,-0.0054839
494.9469,414.8119,3.18,0.010572,0.0148064
495.3712,415.5916,3.3,0.000714,0.0090646
495.6531,416.0084,3.68,0.050682,0.0019355
495.7938,416.0321,3.71,0.082522,-0.0029032
496.1445,416.525,3.5,0.03413,-0.0070968
496.3544,416.8922,3.39,-0.011742,-0.0178571
496.494,416.8546,3.33,0.000532,-0.0021429
496.8423,417.1552,3.24,0.005023,0
497.1201,416.8035,3.36,-0.010239,-0.0083871
497.1895,417.0112,3.54,-0.092369,-0.0116129
497.3279,417.3179,3.47,-0.098521,0
497.5353,417.2778,3.44,-0.126471,0.0045161
497.6734,417.7493,3.36,-0.038514,0.0084839
498.0863,418.4828,3.39,-0.111725,0.007
498.3607,418.8867,3.58,-0.169558,0
498.5659,419.3894,3.61,-0.200074,-0.0032258
498.5659,419.7906,3.54,-0.269455,-0.0067742
498.839,419.8418,3.87,-0.459178,0
499.1113,420.8644,4.32,-0.350492,0
499.1792,421.3944,4.82,-0.320025,0.052
499.3828,421.942,5.31,-0.319522,0.0921935
499.6536,422.6045,5.27,-0.36392,0.0258064
499.9911,422.7623,5.48,-0.323668,0
500.3946,423.3295,5.56,-0.296783,0
500.5958,423.6468,5.76,-0.42854,-0.0039999
500.6627,424.516,6.11,-0.326659,-0.026
500.9301,425.1532,6.54,-0.30399,0.0426667
501.1302,426.1916,7.14,-0.253074,0.0179784
501.3963,426.3864,7.05,-0.273132,-0.0306451
501.6617,426.3228,6.7,-0.327196,0
501.8604,426.4824,6.43,-0.329607,0.0025806
502.2564,426.4395,6.27,-0.259701,0.0174193
502.4538,426.7027,6,-0.401863,0
